"Characters","Skill Name","Skill Level","Skill Description","SP Cost","Initial SP","Skill Duration","Charging Type",""
"","","9","The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage","5","","","",""
"","","10","The next attack will pull the enemy towards self with large force, dealing {{atk_scale}:.0%} physical damage","5","","","",""
"Rope","Duplex Hook","1","Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage","25","10","","Regen over time",""
"","","2","Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage","24","10","","",""
"","","3","Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage","23","10","","",""
"","","4","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","22","10","","",""
"","","5","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","21","10","","",""
"","","6","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","20","10","","",""
"","","7","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","19","10","","",""
"","","8","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","18","10","","",""
"","","9","Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage","17","10","","",""
"","","10","Pull 2 faraway enemies towards self with large force, dealing {{atk_scale}:.0%} physical damage","15","10","","",""
"Myrrh","Double Heal","1","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","10","","","Regen over time",""
"","","2","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","10","","","",""
"","","3","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","10","","","",""
"","","4","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","9","","","",""
"","","5","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","9","","","",""
"","","6","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","9","","","",""
"","","7","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","9","","","",""
"","","8","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","8","","","",""
"","","9","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","8","","","",""
"","","10","The next heal will recover HP equal to {{heal_scale}:.0%} Attack and heal an additional target. Can hold {{ct}:.0f} charges","8","","","",""
"Myrrh","Healing Field","1","Attack +{{atk}:.0%}, heal an additional target on every heal","65","5","25","Regen over time",""
"","","2","Attack +{{atk}:.0%}, heal an additional target on every heal","65","5","25","",""
"","","3","Attack +{{atk}:.0%}, heal an additional target on every heal","65","5","25","",""
"","","4","Attack +{{atk}:.0%}, heal an additional target on every heal","60","10","25","",""
"","","5","Attack +{{atk}:.0%}, heal an additional target on every heal","60","10","25","",""
"","","6","Attack +{{atk}:.0%}, heal an additional target on every heal","60","10","25","",""
"","","7","Attack +{{atk}:.0%}, heal an additional target on every heal","55","15","25","",""
"","","8","Attack +{{atk}:.0%}, heal an additional target on every heal","53","17","25","",""
"","","9","Attack +{{atk}:.0%}, heal an additional target on every heal","52","18","25","",""
"","","10","Attack +{{atk}:.0%}, heal an additional target on every heal","50","20","25","",""
"Gavial","Revitalization","1","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","10","","-1","Regen over time",""
"","","2","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","10","","-1","",""
"","","3","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","10","","-1","",""
"","","4","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","9","","-1","",""
"","","5","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","9","","-1","",""
"","","6","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","9","","-1","",""
"","","7","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","9","","-1","",""
"","","8","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","9","","-1","",""
"","","9","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","9","","-1","",""
"","","10","On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charges","8","","-1","",""
"Gavial","Revitalization·Area","1","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","30","-1","Regen over time",""
"","","2","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","31","-1","",""
"","","3","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","32","-1","",""
"","","4","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","35","-1","",""
"","","5","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","36","-1","",""
"","","6","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","37","-1","",""
"","","7","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","40","-1","",""
"","","8","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","43","-1","",""
"","","9","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","46","-1","",""
"","","10","Heal all allies within range for {{heal_scale}:.0%} of Gavial's Attack per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds","60","50","-1","",""
"Sussurro","Deep Healing","1","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","25","","20","Regen over time",""
"","","2","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","25","","21","",""
"","","3","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","25","","22","",""
"","","4","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","22","","25","",""
"","","5","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","22","","26","",""
"","","6","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","22","","27","",""
"","","7","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","19","","30","",""
"","","8","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","18","","30","",""
"","","9","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","17","","30","",""
"","","10","Attack +{{atk}:.0%}, Attack Speed +{{attack_speed}:.0f}. Can only use up to 2 times in the same battle","15","","30","",""
"Perfumer","Fine-tuning","1","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","Regen over time",""
"","","2","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","3","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","4","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","5","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","6","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","7","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","8","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","9","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"","","10","Attack speed {{attack_speed}:.0f}, Attack +{{atk}:.0%}","60","20","30","",""
"Ptilopsis","Enkephalin","1","Increase attack range, reduce attack interval ({base_attack_time} seconds)","100","65","30","Regen over time",""
"","","2","Increase attack range, reduce attack interval ({base_attack_time} seconds)","100","65","31","",""
"","","3","Increase attack range, reduce attack interval ({base_attack_time} seconds)","100","65","32","",""
"","","4","Increase attack range, highly reduce attack interval ({base_attack_time} seconds)","100","70","33","",""
"","","5","Increase attack range, highly reduce attack interval ({base_attack_time} seconds)","100","70","34","",""
"","","6","Increase attack range, highly reduce attack interval ({base_attack_time} seconds)","100","70","35","",""
"","","7","Increase attack range, greatly reduce attack interval ({base_attack_time} seconds)","100","75","36","",""
"","","8","Increase attack range, greatly reduce attack interval ({base_attack_time} seconds)","100","78","37","",""
"","","9","Increase attack range, greatly reduce attack interval ({base_attack_time} seconds)","100","82","38","",""
"","","10","Increase attack range, massively reduce attack interval ({base_attack_time} seconds)","100","85","40","",""
"зима","Roar of Ursus","1","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","45","10","10","Regen over time",""
"","","2","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","44","10","10","",""
"","","3","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","43","10","10","",""
"","","4","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","42","12","10","",""
"","","5","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","41","12","10","",""
"","","6","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","40","12","10","",""
"","","7","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","39","14","10","",""
"","","8","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","38","16","10","",""
"","","9","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","37","18","10","",""
"","","10","Gradually obtain {{value}:.0f} cost while the skill is active. Increase Attack and Defense of all Vanguards by +{{atk}:.0%}, additionally obtain 1 cost when killing an enemy","35","20","10","",""
"Cuora","Shell-shaped Defense","1","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","Regen over time",""
"","","2","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","3","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","4","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","5","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","6","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","7","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","8","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","9","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"","","10","Stops attacking enemies. Block count +{{block_cnt}:.0f}, Defense +{{def}:.0%}, recover {{hp_recovery_per_sec_by_max_hp_ratio}:.0%} Max HP every second","40","","30","",""
"Matterhorn","Body Strengthening","1","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","45","","25","Regen over time",""
"","","2","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","44","","25","",""
"","","3","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","43","","25","",""
"","","4","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","42","5","27","",""
"","","5","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","41","5","27","",""
"","","6","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","40","5","27","",""
"","","7","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","39","5","27","",""
"","","8","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","38","5","28","",""
"","","9","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","37","5","29","",""
"","","10","Max HP +{{max_hp}:.0%}, recover {{hp_recovery_per_sec}:.0f} HP every second","35","10","30","",""
"Matterhorn","Cold Resistance","1","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","50","","25","Regen over time",""
"","","2","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","49","","25","",""
"","","3","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","48","","25","",""
"","","4","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","47","","27","",""
"","","5","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","46","","27","",""
"","","6","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","45","","27","",""
"","","7","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","44","5","27","",""
"","","8","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","40","5","28","",""
"","","9","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","36","5","29","",""
"","","10","Max HP +{{max_hp}:.0%}, Defense +{{def}:.0%}, Magic resistance +{{magic_resistance}:.0%}","32","10","30","",""
"ГУМ","Reserve Rations","1","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","7","","","Regen over time",""
"","","2","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","7","","","",""
"","","3","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","7","","","",""
"","","4","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","6","","","",""
"","","5","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","6","","","",""
"","","6","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","6","","","",""
"","","7","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","5","","","",""
"","","8","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","5","","","",""
"","","9","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","5","","","",""
"","","10","The next attack will heal a nearby ally for {{heal_scale}:.0%} of ГУМ's Attack. Can hold {{ct}:.0f} charges","4","","","",""
"ГУМ","Food Preparation","1","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","40","10","30","Regen over time",""
"","","2","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","39","10","30","",""
"","","3","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","38","10","30","",""
"","","4","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","37","12","30","",""
"","","5","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","36","12","30","",""
"","","6","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","35","12","30","",""
"","","7","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","34","14","30","",""
"","","8","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","33","16","30","",""
"","","9","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","32","18","30","",""
"","","10","Begins cooking and stops attacking enemies for {{disarm}:.0f} seconds, Defense +{{def}:.0%}. After finishing cooking, focuses on healing nearby allies (attack interval +{base_attack_time} seconds), Attack +{{atk}:.0%}","30","20","30","",""
"Dur-nar","Magic Shield Assault","1","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","37","","30","Regen when attacked",""
"","","2","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","36","","30","",""
"","","3","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","35","","30","",""
"","","4","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","34","3","30","",""
"","","5","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","33","3","30","",""
"","","6","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","32","3","30","",""
"","","7","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","31","6","30","",""
"","","8","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","29","8","30","",""
"","","9","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","27","10","30","",""
"","","10","Attack +{{atk}:.0%}, attack multiple enemies equal to Block count","25","12","30","",""
"Texas","Sword Rain","1","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","20","","Regen over time",""
"","","2","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","21","","",""
"","","3","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","22","","",""
"","","4","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","23","","",""
"","","5","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","24","","",""
"","","6","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","25","","",""
"","","7","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","26","","",""
"","","8","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","27","","",""
"","","9","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","28","","",""
"","","10","Immediately obtain {{cost}:.0f} cost. Deal {{atk_scale}:.0%} magical damage twice to all nearby enemies and stun them for {{stun}:.0f} seconds","40","30","","",""
"Grani","Never Back Down!","1","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","80","50","30","Regen over time",""
"","","2","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","79","50","30","",""
"","","3","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","78","50","30","",""
"","","4","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","77","50","30","",""
"","","5","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","76","50","30","",""
"","","6","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","75","50","30","",""
"","","7","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","74","50","30","",""
"","","8","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","73","50","30","",""
"","","9","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","72","50","30","",""
"","","10","Reduce attack range, Attack and Defense +{{atk}:.0%}, Block count +{{block_cnt}:.0f}, attack multiple enemies equal to Block count","70","50","30","",""
"Swire","Command Dispatch","1","Increase talent range, talent effect increased to {talent_scale}x","60","20","15","Regen over time",""
"","","2","Increase talent range, talent effect increased to {talent_scale}x","59","20","17","",""
"","","3","Increase talent range, talent effect increased to {talent_scale}x","58","20","19","",""
"","","4","Increase talent range, talent effect increased to {talent_scale}x","55","20","21","",""
"","","5","Increase talent range, talent effect increased to {talent_scale}x","54","20","23","",""
"","","6","Increase talent range, talent effect increased to {talent_scale}x","53","20","25","",""
"","","7","Greatly increase talent range, talent effect increased to {talent_scale}x","50","20","27","",""
"","","8","Greatly increase talent range, talent effect increased to {talent_scale}x","47","20","29","",""
"","","9","Greatly increase talent range, talent effect increased to {talent_scale}x","44","20","31","",""
"","","10","Greatly increase talent range, talent effect increased to {talent_scale}x","40","20","35","",""
"Swire","Cooperative Combat","1","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","60","20","15","Regen on attack",""
"","","2","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","59","20","15","",""
"","","3","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","58","20","15","",""
"","","4","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","55","20","18","",""
"","","5","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","54","20","18","",""
"","","6","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","53","20","18","",""
"","","7","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","50","20","21","",""
"","","8","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","49","20","23","",""
"","","9","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","48","20","26","",""
"","","10","Attack +{{atk}:.0%}, talent effect increased to {talent_scale}x","45","20","30","",""
"Franka","Extreme Sharpness","1","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","","20","Regen over time",""
"","","2","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","","20","",""
"","","3","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","","20","",""
"","","4","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","","23","",""
"","","5","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","","23","",""
"","","6","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","","23","",""
"","","7","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","5","26","",""
"","","8","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","5","27","",""
"","","9","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","5","28","",""
"","","10","Reduce Defense to 0, Attack +{{atk}:.0%}. Increase activation chance of defense-ignore talent by {talent_scale}x","20","10","30","",""
