"Fast Link for toolbox to hear voiceline ",,,"https://aceship.github.io/AN-EN-Tags/akhrchars.html",,"Please update the Translate Progress after finished editting",,
"char_124_kroos","Kroos","闲置","Idle","博士竟然睡得比我还安稳呢......","Doctor is sleeping heavier than even me...",,
"char_124_kroos","Kroos","干员报到","Operator Reporting In","嗨~嗨~我是克洛丝哦~我还不成熟，从今天开始会加油的~","Hi~ Hi~ My name is Kroos~ Im not really mature yet, but I will start working on it since today~",,
"char_124_kroos","Kroos","观看作战记录","Watching Combat Tape","谢谢啦~","Thanks~",,
"char_124_kroos","Kroos","精英化晋升1","Elite 1","晋升啦~做了个好梦呢~嗯？不是在梦中吗？","Promoted~ What a nice dream~ Hum? Its not a dream?",,
"char_124_kroos","Kroos","编入队伍","Assign to Team","那个，集合地点在哪呢？","Hey... Where is the assembly area?",,
"char_124_kroos","Kroos","任命队长","Assign to Team Leader","欸~队长的话还是芬更好吧~","Ey~Fang would be a more suitable leader than me~",,
"char_124_kroos","Kroos","行动出发","Operation Sortie","大家~嗯，可以放松一下哦~","Everyone~ Yep we can relax for a while now~",,
"char_124_kroos","Kroos","行动开始","Operation Start","为什么，大家不能好好相处呢......？","Why, why cant everyone just get along......?",,
"char_124_kroos","Kroos","选中干员1","Selected Operator 1","好~","Yes~",,
"char_124_kroos","Kroos","选中干员2","Selected Operator 2","慢慢来就好哦~","Just take it slow and steady~",,
"char_124_kroos","Kroos","部署1","Deploy 1","嗯嗯，听着呢~","Hum hum, Im listening~",,
"char_124_kroos","Kroos","部署2","Deploy 2","战斗的时候可是不会睡着的~","I wont fall asleep in battle~",,
"char_124_kroos","Kroos","作战中1","In Combat 1","你在这里~","Here you are~",,
"char_124_kroos","Kroos","作战中2","In Combat 2","在~这~里~哦","He~re~ I~ am~",,
"char_124_kroos","Kroos","作战中3","In Combat 3","瞄准~！","Aiming~",,
"char_124_kroos","Kroos","4星结束行动","Complete Operation with 4 stars","呼~好辛苦啊......","Phew~ Its so frustrating...",,
"char_124_kroos","Kroos","3星结束行动","Complete Operation with 3 stars","我觉得还可以哦！","Looks nice to me!",,
"char_124_kroos","Kroos","非3星结束行动","Complete Operation with 2 stars","嗯，稍微有点遗憾......","Emm, only a little pity...",,
"char_124_kroos","Kroos","行动失败","Failed Operation","对、对不起......下次我会更加努力的......！","Sor.... Sorry.... I'll work even harder next time!",,
"char_124_kroos","Kroos","进驻设施","Assign to Station","在这里能睡个好觉吗？","Can I get a good sleep here?",,
"char_124_kroos","Kroos","戳一下","Poke","呼......","Zzzz...",,
"char_124_kroos","Kroos","信赖触摸","Poke with Trust Bubble","嗯？我成长了吗~","Hm? Did I grew more mature now?",,
"char_124_kroos","Kroos","标题","Title Screen","明日方舟。","Arknights","アークナイツ。",
"char_124_kroos","Kroos","问候","Greeting","博士~啊呼~","Doctor~ Humphew~",,
"char_126_shotst","Meteor","任命助理","Assign Secretary","好怀念的气息啊。这里是......？",,,
"char_126_shotst","Meteor","交谈1","Conversation 1","来自卡西米尔的风，您感受到了吗？",,,
"char_126_shotst","Meteor","交谈2","Conversation 2","罗德岛和我待过的地方不一样，这里没有可以点起篝火的地方，真遗憾。不知道在甲板上能不能行，我想给大家创造一个近距离说话聊天的场所。",,,
"char_126_shotst","Meteor","交谈3","Conversation 3","这个任务登记系统......？呃，要怎么操作呢？我对电子设备真的不怎么在行......",,,
"char_126_shotst","Meteor","晋升后交谈1","Elite Promotion Conversation 1","最近罗德岛增加了许多新面孔啊。为了让他们更顺利地融入罗德岛，必要的时候我会去帮助他们的。",,,
"char_126_shotst","Meteor","晋升后交谈2","Elite Promotion Conversation 2","那位卡西米尔骑士......嗯，我没认错，我以前就认识她，那时候她还是个喜欢读书的内向女孩呢。变化可真大啊。",,,
"char_126_shotst","Meteor","信赖提升后交谈1","High Trust Conversation 1","嘘——看，我发现了什么，这儿有一位落单的博士，我们可以尝试捕捉他！吓到您了吗？呵呵~",,,
"char_126_shotst","Meteor","信赖提升后交谈2","High Trust Conversation 2","偶尔的，我会想起在森林中的故乡时度过的日子。每年都有各种各样的竞赛可以参加，真怀念啊。不知道，我的故乡现在又变成什么样了呢。",,,
"char_126_shotst","Meteor","信赖提升后交谈3","High Trust Conversation 3","博士的背后，无论什么时候都可以放心地交给我。",,,
"char_126_shotst","Meteor","闲置","Idle","博士也会这样毫无防备地睡着啊，呵呵。",,,
"char_126_shotst","Meteor","干员报到","Operator Reporting In","你好，我是流星，来自森林的弓箭手。您需要擅长远程援护的干员吗？",,,
"char_126_shotst","Meteor","观看作战记录","Watching Combat Tape","弓术的练习，哪怕一天也不能松懈呀。",,,
"char_126_shotst","Meteor","精英化晋升1","Elite 1","我很荣幸获得这次晋升机会。",,,
"char_126_shotst","Meteor","精英化晋升2","Elite 2","谢谢博士的认可。今后就让我继续为博士贡献自己的力量吧。",,,
"char_126_shotst","Meteor","编入队伍","Assign to Team","远程援护就交给我吧。",,,
"char_126_shotst","Meteor","任命队长","Assign to Team Leader","我会照顾好大家的。",,,
"char_126_shotst","Meteor","行动出发","Operation Sortie","伙伴们，出发。",,,
"char_126_shotst","Meteor","行动开始","Operation Start","展示我们力量的时候到了。",,,
"char_126_shotst","Meteor","选中干员1","Selected Operator 1","请您下令。",,,
"char_126_shotst","Meteor","选中干员2","Selected Operator 2","我已等候多时。",,,
"char_126_shotst","Meteor","部署1","Deploy 1","风吹向了正确的地方。",,,
"char_126_shotst","Meteor","部署2","Deploy 2","我会保持警戒。",,,
"char_126_shotst","Meteor","作战中1","In Combat 1","有破绽！",,"スキありっ！",
"char_126_shotst","Meteor","作战中2","In Combat 2","风！",,"風よ！",
"char_126_shotst","Meteor","作战中3","In Combat 3","就是这一箭！",,"この一撃で！",
"char_126_shotst","Meteor","作战中4","In Combat 4","致命一击。",,,
"char_126_shotst","Meteor","4星结束行动","Complete Operation with 4 stars","不管是什么样的难关，只要我们齐心协力，就一定能克服过去。",,,
"char_126_shotst","Meteor","3星结束行动","Complete Operation with 3 stars","干的漂亮，大家都是最棒的。",,,
"char_126_shotst","Meteor","非3星结束行动","Complete Operation with 2 stars","请伤者留在原地，别乱动，我马上就去帮你。",,,
"char_126_shotst","Meteor","行动失败","Failed Operation","抱歉，不应该是这样的......",,,
"char_126_shotst","Meteor","进驻设施","Assign to Station","我还是不太习惯这么狭小的房间啊。",,,
"char_126_shotst","Meteor","戳一下","Poke","哎呀？有什么事吗？",,,
"char_126_shotst","Meteor","信赖触摸","Poke with Trust Bubble","和博士在一起的时光，就像沐浴在春天的阳光里一样温暖，很舒服。",,,
"char_126_shotst","Meteor","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_126_shotst","Meteor","问候","Greeting","博士，您好。",,,
"char_127_estell","Estelle","任命助理","Assign Secretary","那个，我、我该站在哪里才好？坐，坐下？......那，那我该坐在哪里？",,,
"char_127_estell","Estelle","交谈1","Conversation 1","我的伙伴，就是那只小鸟，最近它总是失踪，那个，不会是不喜欢再和我待在一起了吧......",,,
"char_127_estell","Estelle","交谈2","Conversation 2","我这样子，看起来根本不像是干员吧......有我这样的干员，您也不会高兴的。请放心，我不会说自己属于罗德岛的......",,,
"char_127_estell","Estelle","交谈3","Conversation 3","如您所见，我的头发没法编一些常见的发型，所以就只能像这样把头发放下来......果然我这样，还是不太好吧......",,,
"char_127_estell","Estelle","晋升后交谈1","Elite Promotion Conversation 1","我这对变异的角很显眼吧，本来我以为，自己已经习惯被人观看了......果然......还是会觉得不好意思啊......",,,
"char_127_estell","Estelle","晋升后交谈2","Elite Promotion Conversation 2","我生活在荒野时认识的朋友们，也渐渐聚集在罗德岛了呢......这样，多多少少，我也不会那么孤单了......我会努力战斗保护大家的。",,,
"char_127_estell","Estelle","信赖提升后交谈1","High Trust Conversation 1","其实从小我就一直......一直、梦想成为一个公主......那个，您想笑就笑吧，我、没关系的......",,,
"char_127_estell","Estelle","信赖提升后交谈2","High Trust Conversation 2","我一直被敌人“怪胎、怪胎“地叫......但......是啊，我是怪胎，是想要保护博士，想要保护所有人的怪胎。",,,
"char_127_estell","Estelle","信赖提升后交谈3","High Trust Conversation 3","那个，总是很活泼的医生，好像和我是同族人吧......虽然我挺想和她说说话的，但是......还是有点害怕她......",,,
"char_127_estell","Estelle","闲置","Idle","这下没有人盯着我看了吧......？呼——终于......",,,
"char_127_estell","Estelle","干员报到","Operator Reporting In","您、您好......那个，呃，对不起......我的角不小心把您办公室的门捅穿......了......",,,
"char_127_estell","Estelle","观看作战记录","Watching Combat Tape","比现在更强的力量，我真能控制得了吗......？",,,
"char_127_estell","Estelle","精英化晋升1","Elite 1","晋升是什么......？虽然还不太明白，但我确实帮上您的忙了，是吗？",,,
"char_127_estell","Estelle","精英化晋升2","Elite 2","多亏博士您，让我有了一点自信......我究竟该做什么，是为了谁拥有这样的力量，现在，我现在好像稍微明白了。",,,
"char_127_estell","Estelle","编入队伍","Assign to Team","请大家别太注意我......",,,
"char_127_estell","Estelle","任命队长","Assign to Team Leader","哇、我......！？真、真的没问题吗......？",,,
"char_127_estell","Estelle","行动出发","Operation Sortie","那个，各、各位，要出击了......！下、下令，就是这样的感觉吧？",,,
"char_127_estell","Estelle","行动开始","Operation Start","不、不会让那些恶徒，得逞的！",,,
"char_127_estell","Estelle","选中干员1","Selected Operator 1","啊，我吗......？",,,
"char_127_estell","Estelle","选中干员2","Selected Operator 2","让我来！",,,
"char_127_estell","Estelle","部署1","Deploy 1","我来防守这里的话，应该能吸引到很多敌人......",,,
"char_127_estell","Estelle","部署2","Deploy 2","让敌人感到恐惧，我能做到吧......？",,,
"char_127_estell","Estelle","作战中1","In Combat 1","哈啊！",,,
"char_127_estell","Estelle","作战中2","In Combat 2","这里，不让过！",,,
"char_127_estell","Estelle","作战中3","In Combat 3","我不会放你们离开的！",,,
"char_127_estell","Estelle","作战中4","In Combat 4","请你害怕我吧！",,,
"char_127_estell","Estelle","4星结束行动","Complete Operation with 4 stars","再加把劲......嗯，再加把劲！",,,
"char_127_estell","Estelle","3星结束行动","Complete Operation with 3 stars","您会为我们的战果感到骄傲吗，博士？",,,
"char_127_estell","Estelle","非3星结束行动","Complete Operation with 2 stars","太好了......我们赢了！博士！",,,
"char_127_estell","Estelle","行动失败","Failed Operation","果然......我什么都没做到......",,,
"char_127_estell","Estelle","进驻设施","Assign to Station","哇啊......这里，好宽阔！太好了......",,,
"char_127_estell","Estelle","戳一下","Poke","那个......？",,,
"char_127_estell","Estelle","信赖触摸","Poke with Trust Bubble","博士总是这么关心我，我非常、非常高兴......",,,
"char_127_estell","Estelle","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_127_estell","Estelle","问候","Greeting","博，博士...",,,
"char_128_plosis","Ptilopsis","任命助理","Assign Secretary","您好，博士，请问需要什么帮助？",,,
"char_128_plosis","Ptilopsis","交谈1","Conversation 1","......深度睡眠......Zzzzz......修改高级配置与电源管理接口......Zzzzz......",,,
"char_128_plosis","Ptilopsis","交谈2","Conversation 2","种族特性与病毒效果叠加，导致我在会话中会随时休眠，请不必在意。",,,
"char_128_plosis","Ptilopsis","交谈3","Conversation 3","我与赫默博士是在莱茵生命认识的。在某内部项目中，我为她提供了大数据分析和风险评估。",,,
"char_128_plosis","Ptilopsis","晋升后交谈1","Elite Promotion Conversation 1","警告！开始将罗德岛的数据库还原至初始状态......没事的，这是一个玩笑，请不要惊慌。",,,
"char_128_plosis","Ptilopsis","晋升后交谈2","Elite Promotion Conversation 2","如果不能通过优化提高性能的话，我会建议您进行重构。这样，数据通讯的效率会上升，白面鸮也会......Zzzz......",,,
"char_128_plosis","Ptilopsis","信赖提升后交谈1","High Trust Conversation 1","说话方式？这是源石病毒的影响，绝非我觉得有趣才这样做的。",,,
"char_128_plosis","Ptilopsis","信赖提升后交谈2","High Trust Conversation 2","警告，系统已从严重错误中恢复，正在应用最近一次正确启动时的配置。请不要介意。",,,
"char_128_plosis","Ptilopsis","信赖提升后交谈3","High Trust Conversation 3","实际上，采用这样的说话方式需要承受相当大的负担。但这是为了防止系统中枢被那个声音吞噬的必要措施。我恳求您，即使我失去了理智，也请博士指引我回归正确的道路。",,,
"char_128_plosis","Ptilopsis","闲置","Idle","......系统进入睡眠模式。",,,
"char_128_plosis","Ptilopsis","干员报到","Operator Reporting In","前莱茵生命数据维护员白面鸮，如果方便的话，请使用命令行完成您所需的操作。",,,
"char_128_plosis","Ptilopsis","观看作战记录","Watching Combat Tape","正在读取软件包列表......申请完成。",,,
"char_128_plosis","Ptilopsis","精英化晋升1","Elite 1","更新程序安装完成。 白面鸮的系统权限已更新。",,,
"char_128_plosis","Ptilopsis","精英化晋升2","Elite 2","警告，开始将罗德岛数据库还原至二年前......这是一个玩笑，请放心。系统更新已完成。",,,
"char_128_plosis","Ptilopsis","编入队伍","Assign to Team","已将新数据汇编入程序组。",,,
"char_128_plosis","Ptilopsis","任命队长","Assign to Team Leader","已获得部队管理员访问令牌。",,,
"char_128_plosis","Ptilopsis","行动出发","Operation Sortie","应用地图和敌人坐标的直接内存访问已设置。 请稍等。",,,
"char_128_plosis","Ptilopsis","行动开始","Operation Start","战术支援系统上线。",,,
"char_128_plosis","Ptilopsis","选中干员1","Selected Operator 1","程序启动。",,,
"char_128_plosis","Ptilopsis","选中干员2","Selected Operator 2","初始化完成。",,,
"char_128_plosis","Ptilopsis","部署1","Deploy 1","法术单元充能中。",,,
"char_128_plosis","Ptilopsis","部署2","Deploy 2","目标设定。",,,
"char_128_plosis","Ptilopsis","作战中1","In Combat 1","医疗进程开始。",,,
"char_128_plosis","Ptilopsis","作战中2","In Combat 2","装载完毕。",,,
"char_128_plosis","Ptilopsis","作战中3","In Combat 3","治疗模式。",,,
"char_128_plosis","Ptilopsis","作战中4","In Combat 4","法术单元启动。",,,
"char_128_plosis","Ptilopsis","4星结束行动","Complete Operation with 4 stars","高难度的战役亦被博士完全攻克，或许有朝一日您将能解决非确定性多项式时间问题带来的困惑。",,,
"char_128_plosis","Ptilopsis","3星结束行动","Complete Operation with 3 stars","您的逻辑推论完全正确，完美的计算。",,,
"char_128_plosis","Ptilopsis","非3星结束行动","Complete Operation with 2 stars","仍有一些错误出现在您的计算中，请注意。",,,
"char_128_plosis","Ptilopsis","行动失败","Failed Operation","作战行动中发生了问题，请重启系统。",,,
"char_128_plosis","Ptilopsis","进驻设施","Assign to Station","这个地方就像磁盘列阵一样吗？",,,
"char_128_plosis","Ptilopsis","戳一下","Poke","发生错误。",,,
"char_128_plosis","Ptilopsis","信赖触摸","Poke with Trust Bubble","检测到白面鸮对博士的好感度上升，要跳到下一个事件选项吗？",,,
"char_128_plosis","Ptilopsis","标题","Title Screen","明日方舟。",,"アークナイツ。",
"char_128_plosis","Ptilopsis","问候","Greeting","全新的一天，检测到博士上线，白面鸮的情绪指数上升。",,,
"char_129_bluep","Blue Poison","任命助理","Assign Secretary","哎呀，你好，博士。今天的您看起来也很健康，这比什么都好。","Oh? Greetings, doctor. It’s great to see that you’re quite energetic today.","あら、ごきげんよう、ドクター。今日はお元気そうでなによりですわね。",
"char_129_bluep","Blue Poison","交谈1","Conversation 1","我准备了解毒剂，它能使普通的毒物完全无效。希望您在每次作战前都服用一杯，可以吗？","I’ve finished mixing the antidotes. Any normal poison should be counteracted immediately. Make sure to drink it before the operation, understood? ","解毒剤を調合しましたの。普通の毒ならまず解毒できますわ。作戦前には必ずお飲みになって。よろしいですわね",
"char_129_bluep","Blue Poison","交谈2","Conversation 2","因为我身体中的毒素也是一种优质的药品原料，所以凯尔希医生经常把我叫去她的实验室......","The composition of poison makes for good ingredients in medicine, so professor Kal’tsit is always summoning me to her lab. ","毒の成分は薬のいい原料になるということで、ケルシー先生はいつもわたくしを実験室に呼びつけますの。",
"char_129_bluep","Blue Poison","交谈3","Conversation 3","哎呀，一直盯着我看，有什么事吗？......嗯？我的眼睛很罕见？博士，这是在称赞我吗？","Oh my, you’re starting quite intently at me, do you perhaps need something? ...Huh? My eyes are unusual? Doctor… Is that supposed to be a compliment? ","あら、わたくしのことをジっと見つめになって、なにかご用ですの？。。。はい？わたくしの目が珍しい？ドクター。。。それで褒めているおつもり？",
"char_129_bluep","Blue Poison","晋升后交谈1","Elite Promotion Conversation 1","我是敌人最畏惧的存在。没办法啊，比起被“毒物”折磨而死，不如抢先杀死我，敌人们理所当然会这样选择吧......只是有时候，我的同伴也会思考同样的事，这让我有些不安。","The enemy view me as an object of pure hatred. It really can’t be helped. If you thought you were going to die a painful death from being poisoned, it’s quite natural that you’d want to remove the source immediately. Although, sometimes, I worry if even some allies are thinking the exact same thing...","わたくしは、敵から最も忌み嫌われる存在ですの。仕方ありませんわ。毒物などに苦しんで殺されるなら真っ先にそれを消そうと考えるのは当然ですもの。時々味方も同じことを考えているのではないかと不安になります。",
"char_129_bluep","Blue Poison","晋升后交谈2","Elite Promotion Conversation 2","为什么我在盯着这块蛋糕发呆？其实蛋糕是我为大家烤的，只是谁都不肯吃......难道，博士想要尝尝看吗？","“Why am I zoning out staring at a cake,” you say… .Well, I baked this cake for everyone, but nobody seems to want to touch it … ah, are you implying that you’ll have a bite for me, doctor? ","どうしてケーキを見てボォーとしているか。。。ですか？わたくしが皆さまに焼いたケーキなんですが、だれも食べてくださらないのです。ぁ、もしかしてドクターが食べてくださると？",
"char_129_bluep","Blue Poison","信赖提升后交谈1","High Trust Conversation 1","博士总是穿着相同的衣服呢，不如让我帮您挑选些新的吧？我觉得自己还挺有挑衣服的品味......哎，制服是不能随便更换的......这样吗？","You’re always wearing the same clothes, aren’t you doctor. If you so wish, shall I pick out some new clothes for you? I’m quite confident in my outfit coordination skills. Oh my, “you can’t just change your uniform on a whim”,  you say? ","ドクターはいつも同じ服を着てらっしゃるのね。何なら新しいふくを選んで差し上げましょうか？わたくし、服のコーディネートには自信がありますのよ。あら、制服は勝手に変えてはいけない。。。ですか？",
"char_129_bluep","Blue Poison","信赖提升后交谈2","High Trust Conversation 2","因为我是“毒物”，所以谁都不想接近我......但，这样的我的身边，现在总能有博士相伴。我很开心哟，真的。","I’m “poisonous”, so nobody would even think of approaching me. But, doctor.... For you to make the choice to be by my side… I’m happy. Truly. ","わたくしは「毒物」なので、誰もわたくしに近付こうとしません。でもドクターは。。。こんなわたくしのそばにいてくださる。嬉しいです。本当に。",
"char_129_bluep","Blue Poison","信赖提升后交谈3","High Trust Conversation 3","实际上，我的身体和大家没什么不同，即使我是“毒物”，只是触碰的话并不会发生什么坏事。如果您能亲自证明这一点的话，也许大家就能相信......博士，可以在大家面前，触碰我的手吗？","In all honesty, my body’s the exact same as everyone else’s. It would be false to say that something would happen if you so much as touched me because i’m “poisonous”. If you could provide some proof of that, then perhaps everyone could trust me. Doctor...  If you would allow it, could you hold my hand in front of everyone? ","本当のところ、わたくしの体は皆様と同じですの。わたくしが「毒物」だからといって、触れると何か起きるなんてことはありませんのよ。ドクターがそれを証明してくだされば、皆様も信じてくれるかもしれません。ドクター。。。もしよろしければ、皆様の前で、わたくしの手に触れてくださるかしら。",
"char_129_bluep","Blue Poison","闲置","Idle","博士？哎呀，好像睡着了。有没有毯子能给博士盖一下呢。","Doctor? Oh my, you’ve fallen asleep, haven’t you. I wonder if there’s something I could cover you with… ","ドクター？あら、おやすみになられたわね。なにかお掛けするものはないのかしら。。。",
"char_129_bluep","Blue Poison","干员报到","Operator Reporting In","初次见面，我是蓝毒，想必您已经听凯尔希医生提起过我，那么，该如何运用我这“毒物”的能力，就交由您来决定了。","Good to be of acquaintance, my name is Blue Poison. I’m sure you’ve already heard from professor Kal’tsit; I’m ready to use my so-called “poisonous” power to be of assistance to you in any way you may require.","はじめまして、アズリュースと申しますわ。ケルシー先生から伺ってらっしゃると思いますが、”毒物”と呼ばれるこの私の力、使い方はお任せいたしますわ",
"char_129_bluep","Blue Poison","观看作战记录","Watching Combat Tape","似乎听到了毒液沸腾的声音，真让人心情愉快啊。","I can hear the sound of the poison brewing and bubbling, what a pleasant feeling. ","毒がフツフツと滾る音が聞こえるよ、いい気分ですわ。",
"char_129_bluep","Blue Poison","精英化晋升1","Elite 1","很感谢您。能在这么多的战斗中有所建树，我的愿望实现了呢。","To have made so many achievements after so many battles, I’m also quite satisfied. ","幾多の戦いで功績を得られて、わたくしも本望ですわ。",
"char_129_bluep","Blue Poison","精英化晋升2","Elite 2","与其作为“毒物”浑浑噩噩地活下去，不如坦率接受这样的自己，努力去改变命运——能让我实现这小小梦想的人，正是博士您啊。所以，真的，真的非常感谢......","To be able to accept my true self and change fate through hard work, is far better than living as an unfulfilled poisonous creature. The one who granted me the opportunity to fulfil this insignificant wish of mine…. Doctor, it’s you. My gratititude is endless","毒物として負い目を感じながら生きていくより、ありのままの自分を受け入れて運命を変えられる努力を賜与。こんな細やかな夢を叶える機会を与えてくださったのはドクター、あなたですわ。感謝しても頻れませんわ。",
"char_129_bluep","Blue Poison","编入队伍","Assign to Team","这样很好，我很适合做辅助进攻的工作。","Very well. This is a perfect job for someone like me who excels in combat. ","いいですわね。攻撃支援に長けたわたくしにピッタリの仕事ですわ。",
"char_129_bluep","Blue Poison","任命队长","Assign to Team Leader","派我去援护其他人比较好哦？否则我的毒液，说不定会伤到博士......","As expected, defense missions are good. This venom might even bare its fangs at you too, doctor. ","やはり援護の任務がいいですわ。この毒液がドクターに牙をむくかもしれませんのよ",
"char_129_bluep","Blue Poison","行动出发","Operation Sortie","各位，没必要离我那么远的......","My oh my, there’s no need to avoid me like that. ","あら、あら、そんなにわたくしを避けなくても大丈夫ですのよ",
"char_129_bluep","Blue Poison","行动开始","Operation Start","我为你们准备了“礼物”。喜欢吗？","I’ve prepared a “special gift” for you people.  I wonder if you’ll enjoy it? ","あなた方のためにプレゼントを用意しましたの. 気に入っていただけるかしら。",
"char_129_bluep","Blue Poison","选中干员1","Selected Operator 1","恭候您的指令。","I have been waiting for this. ","お待ちしておりましたわ",
"char_129_bluep","Blue Poison","选中干员2","Selected Operator 2","请不要怕我。","Oh, don’t mind me. ","わたくしのことをお構いなく。",
"char_129_bluep","Blue Poison","部署1","Deploy 1","请安心，毒素是不会传染的。","Please, no need to worry. This poison isn’t contagious, afterall. ","ご安心くださいまし、この毒は移りませんから",
"char_129_bluep","Blue Poison","部署2","Deploy 2","毒剂准备好了哦。","The preparations for the poison have been set. ","毒薬の準備が整いましたわ。",
"char_129_bluep","Blue Poison","作战中1","In Combat 1","这种毒素，将会慢慢侵蚀你的生命......","This poison will slowly eat away at your life. ","この毒はゆっくりとあなた方の命を蝕みますのよ",
"char_129_bluep","Blue Poison","作战中2","In Combat 2","是不是看到幻觉了呢？","I wonder if you’re feeling the burn. ","厳格が見えるかしら",
"char_129_bluep","Blue Poison","作战中3","In Combat 3","我之蜜糖，汝之砒霜。","Mine nectar shalt bestow death upon thee","我が蜜液が汝に死をもたらさん",
"char_129_bluep","Blue Poison","作战中4","In Combat 4","毒吻。","Poison kiss","ポイゾンキッス",
"char_129_bluep","Blue Poison","4星结束行动","Complete Operation with 4 stars","用“毒物”去战胜阴谋和罪恶。会不会让您觉得这是种讽刺呢？","“Venomous creatures are only good for crime and espionage” you say… well? Don’t you think that’s quite an ironic statement? ","毒物が陰謀と罪悪にまさるだなんて。。。どう？皮肉な話だと思いませんこと？",
"char_129_bluep","Blue Poison","3星结束行动","Complete Operation with 3 stars","有种方法，能让这些残骸在一瞬间溶化掉......您想欣赏一下吗？","I can make all these corpses melt away in an instant, don’t you know? Would you like to see?","この死骸たち一瞬で溶かしてしまうこともできますのよ。見てみたいかしら",
"char_129_bluep","Blue Poison","非3星结束行动","Complete Operation with 2 stars","还好，没弄脏衣服就结束了。","Without having to get too dirty, the job is done.","大して服を汚さずに済みましたわ。",
"char_129_bluep","Blue Poison","行动失败","Failed Operation","真是可笑的战斗，就像“毒物”被自己毒死一样......","For a venomous creature to perish from its own poison in battle...how laughable.","この戦い毒物が自分の毒で死ぬように滑稽ですわ。",
"char_129_bluep","Blue Poison","进驻设施","Assign to Station","适当的休息，也是为了工作更有状态哦。","Moderate rest is required for a job well done. ","いい仕事をするためには適度な休憩が必要ですわ",
"char_129_bluep","Blue Poison","戳一下","Poke","欸？","hm?","エッ？",
"char_129_bluep","Blue Poison","信赖触摸","Poke with Trust Bubble","您、碰到我了？再做、再做一次，能拜托您再做一次吗？","D-did you lay your hand on me just now? C-could you perhaps do that again? ","い、今、わたくしに触れてくださったのですか？も、もう一度お願いできないかしら。",
"char_129_bluep","Blue Poison","标题","Title Screen","明日方舟。","Arknights","アークナイツ。",
"char_129_bluep","Blue Poison","问候","Greeting","你好，博士。","Good day to you, doctor. ","ごきげんよう、ドクター",
"char_130_doberm","Dobermann","任命助理","Assign Secretary","博士，我安排下去的基础训练项目，新人们都有在认真练习吗？","Doctor, I've prepared a basic training course, but are the new recruits doing it properly?","ドクター、私が用意した基礎訓練メニューだが、新入り達はしっかりやっているか？",
"char_130_doberm","Dobermann","交谈1","Conversation 1","合理且有规律的饮食也是日常训练的一环。凡是抗议这项规则的人，首先到甲板上跑五十圈再说。","A balanced and reasonable diet is a part of training as well. Those who cannot follow these rules will be forced to run 50 laps of the deck.","規則正しい合理的な食事をこなおのも訓練の一環だ。規則を守れない者はデッキを五十周ラニングしてもらおう。",
"char_130_doberm","Dobermann","交谈2","Conversation 2","作为教官，日常教学理应不断在严厉和宽容间寻求平衡。老实说，我觉得，我对芬是不是有些太苛刻了。","As an instructor, it is important to balance both rigidity and tolerance. To be honest, I feel like I was too strict with Fang.","教官として大切なのは厳格さと寛大さのバランスだ。正直、フェンには厳しくし過ぎたと思っている。",
"char_130_doberm","Dobermann","交谈3","Conversation 3","为干员编排小组时，要记得做到人尽其才，让每个人能最大程度地发挥力量。干员的个人能力至关重要，但博士你的判断能力才是最需要考验的。","When organising groups of operators, you have to fit everyone into their right place to make the most of their abilities. Of course, an operator's indvidual talents are important, but above that is your own intuition, Doctor.","オペレーターを変遷する差異、適材適所を心だけ、お能のが最大限に力をはっきできようにしてなければならない。オペレーター個人の能力が大事だが、それ以上にドクターの判断力が試される。",
"char_130_doberm","Dobermann","晋升后交谈1","Elite Promotion Conversation 1","博士，干员的训练，不仅要改善他们的体质，增进他们的能力，还要注重提升他们精神方面的修养。别忘了，他们必须拥有能对抗审讯和种种精神干扰的心理素质。","Other than improving an operator's physical condition and making them stronger, don't forget to also place an emphasis on their mental strength. You have to have a strong heart to withstand interrogation and psychological attacks.","ドクター、オペレータ－の訓練では、体質改善や力をつけるものいがいに、精神面の収容にも重点を置くことを忘れるな。拷問や精神攻撃にも耐えられるような、強い心を持たせなくてならん。",
"char_130_doberm","Dobermann","晋升后交谈2","Elite Promotion Conversation 2","你在找那些新人？他们正在罗德岛甲板上训练。啊，我当然知道这会儿外面是什么天气。","You're looking for the recruits? They're doing independant training on the deck. Yes, of course I know what the weather is like outside.","見習い達か？今はデッキで自主訓練をさせている。あ、もちろん、外の天気は承知したうえだ。",
"char_130_doberm","Dobermann","信赖提升后交谈1","High Trust Conversation 1","异常的变化......呵呵，“猎犬”的眼睛是无法被欺瞒的。","Doctor, I can see through any strangeness of the body... Ufu, in other words ""You cannot fool the eyes of the hound"".","ドクター、どんな体の異常も、私にはお見通しだぞ。うふん、猟犬の目は欺けないという事だ。",
"char_130_doberm","Dobermann","信赖提升后交谈2","High Trust Conversation 2","如果你觉得，“只要坐在指挥官的位子上，就可以随便放松懈怠”，我一定会纠正你的想法，博士。","If one who sits in the seat of the commander thinks that they can neglect training, I'll fix that attitude.","指揮官の座にいる者は「鍛錬を怠ってもいい」なんて思っているなら、私はその考えを叩き直してやろう。",
